,id,X,NEST,av.food,av.trip.length,av.col.int,num.trips,SEASON,nest.seas,TYPE,CHICK,OUTCOME,hatch.seasday,cr.seasday,fail.seasday,cr.age,fail.age,last.day.2.chx,first.day.2.chx,sex,Parent_Age,Epy,Parent_Sex,weight.slope40,flipper.slope40,tibiotar.slope35,foot.slope35,bill.slopeall,CH_B,CH_S,mean.N,mean.C,cr.mass,resid.hatch,cr.flip,cr.tib,cr.foot,cr.bill,did.cr
2,1213-11-A,5,11,0.188999616,32.03847222,23.528125,4,1213,1213-11,WB,A,C,44,68,150,24,0,150,150,F,NA,NA,NA,81.34210526,4.118201754,2.571667363,0.603986135,0.227299956,0,0,NA,NA,2108.815789,-3,146.0844298,125.81028,99.08318891,16.7548251,1
3,1213-11-B,6,11,0.094499808,32.03847222,23.528125,4,1213,1213-11,WB,B,C,45,68,150,23,0,150,45,F,NA,NA,NA,79.03947368,4.696491228,3.036773924,1.218370884,0.247673808,1,0,11.11,-24.92,1872.171053,-4,142.6403509,124.7831174,96.77469671,15.72023393,1
4,1213-12-A,7,12,0.132910287,37.32753968,26.46539683,7,1213,1213-12,WB,A,C,45,70,150,25,0,150,150,M,NA,NA,NA,82.75,4.827830189,3.220614828,1.880650995,0.2400839,0,0,11.62,-24.82,1713.333333,-2,142.4889937,126.6148282,99.65099458,17.04461196,1
5,1213-12-B,8,12,0.066455144,37.32753968,26.46539683,7,1213,1213-12,WB,B,C,47,70,150,23,0,150,47,F,NA,NA,NA,75.19103774,4.801886792,2.83490566,1.145700637,0.180147964,1,0,10.865,-25.265,1334.048742,-2,122.4371069,109.836478,87.14171975,14.40052867,1
6,1213-14-A,10,14,0.152846795,24.889375,31.10496528,8,1213,1213-14,WB,A,C,47,73,150,26,0,72,150,M,NA,NA,NA,104.5151057,4.603021148,2.63897281,1.060714286,0.183563758,0,0,10.465,-25.75,2329.190332,0,156.0380665,130.1510574,104.727381,16.11285906,1
7,1213-14-B,11,14,0.069242564,23.51174603,35.47515873,7,1213,1213-14,WB,B,D,49,45,72,NA,23,72,49,F,NA,NA,NA,47.78688525,5.081967213,3.950819672,1.8,0.307295082,1,0,9.9,-26.16,47.29508197,0,16.6557377,36.60655738,52.4,9.203360656,0
8,1213-16-A,14,16,0.16864035,34.11388889,39.68577778,5,1213,1213-16,WB,A,D,49,49,70,NA,21,70,150,M,NA,NA,NA,105.745283,6.839622642,4.754716981,1.8,0.356320755,0,0,10.17,-25.31,-278.1933962,2,13.9245283,34.69339623,64.8,8.496650943,0
9,1213-16-B,15,16,0.102295575,33.24986111,34.84236111,4,1213,1213-16,WB,B,C,51,71,150,20,0,70,51,F,NA,NA,NA,65.27437759,4.100970874,3.282157676,1.312621359,0.18534751,1,0,10.43,-25.395,1110.456432,2,108.181877,104.7510373,80.36440129,12.80182573,1
10,1213-18-S,16,18,0.081439203,31.08319444,35.43694444,2,1213,1213-18,WB,S,C,45,70,150,25,0,150,150,M,NA,NA,NA,114.2513863,4.077264325,2.586799277,0.945823928,0.230746765,0,1,10.645,-25.02,2585.378928,-2,155.3855823,135.8860759,97.82392777,16.37544917,1
11,1213-19-A,17,19,0.418677544,21.99503472,22.47888889,8,1213,1213-19,WB,A,C,45,65,150,20,0,150,150,F,NA,NA,NA,56.72820125,3.313221108,2.267167382,0.462395543,0.205224444,0,0,10.61,-25.085,1734.156421,-4,136.0994893,121.666309,92.10027855,15.0198642,1
12,1213-19-B,18,19,0.209338772,21.99503472,22.47888889,8,1213,1213-19,WB,B,C,47,65,150,18,0,150,47,M,NA,NA,NA,88.89483639,4.387176092,2.826537911,1.069637883,0.187918709,1,0,10.735,-25.42,1449.802345,0,119.7618687,114.9810443,88.64763231,13.87558983,1
1,1213-1-B,2,1,0.0479679,18.53444444,88.02527778,2,1213,1213-1,WB,B,C,54,73,150,19,0,70,54,F,NA,NA,NA,96.09258749,3.836869661,3.089171975,1.499111901,0.165425737,1,0,10.08,-25.68,1499.922844,5,107.4692753,110.0318471,83.37477798,13.23714522,1
15,1213-21-A,21,21,0.129105869,39.77875,19.15805556,6,1213,1213-21,WB,A,C,47,66,150,19,0,84,150,M,NA,NA,NA,60.41509434,4.867924528,2.672169811,0.949840764,0.202295669,0,0,11.05,-25.205,1403.669811,-2,123.7641509,111.822327,94.02070064,13.98072289,1
16,1213-21-B,22,21,0.064552934,39.77875,19.15805556,6,1213,1213-21,WB,B,D,49,66,84,NA,35,84,49,F,NA,NA,NA,25.42658638,3.706577119,2.508337193,0.945241199,0.159564613,1,0,10.79,-25.28,767.0898564,2,93.21560908,97.32260306,81.02259887,13.21037517,1
17,1213-22-A,23,22,0.387969801,33.76482323,8.364520202,11,1213,1213-22,WB,A,C,40,59,150,19,0,150,150,M,NA,NA,NA,120.6733592,3.889464594,2.711442786,0.834162521,0.349395161,0,0,11.305,-24.875,2008.778929,-9,131.791019,122.5273632,95.7628524,15.85423387,1
18,1213-22-B,24,22,0.193984901,33.76482323,8.364520202,11,1213,1213-22,WB,B,C,41,59,150,18,0,150,41,M,NA,NA,NA,125.5470639,3.769645941,2.675787728,0.999170813,0.242066532,1,0,11.375,-24.905,1786.499136,-6,129.91019,117.8913765,93.40381426,15.64803427,1
19,1213-23-A,25,23,0.229605614,37.09331019,20.46777778,12,1213,1213-23,WB,A,C,43,68,150,25,0,60,150,M,NA,NA,NA,103.4861592,3.289035088,2.022565817,0.383882149,0.290954029,0,0,11.47,-24.88,2569.455017,-6,154.0635965,130.0714584,100.7071057,17.96560059,1
20,1213-24-A,27,24,0.267679364,30.74688889,17.55463889,10,1213,1213-24,WB,A,C,41,67,150,26,0,150,150,F,NA,NA,NA,97.41525424,4.25,2.419544453,1.075679647,0.234791171,0,0,11.345,-24.735,2453.580508,-8,154.75,142.0756796,100.3306392,17.27685229,1
21,1213-24-B,28,24,0.133839682,30.74688889,17.55463889,10,1213,1213-24,WB,B,C,43,67,150,24,0,150,43,F,NA,NA,NA,38.77824859,3.951977401,2.223365173,1.158706833,0.197741087,1,0,10.52,-25.43,1448.806497,-4,132.7789548,123.1506245,92.34386481,15.65534126,1
22,1213-25-S,29,25,0.06271635,67.16416667,17.7425,2,1213,1213-25,WB,S,C,45,66,150,21,0,150,150,F,NA,NA,NA,98.14602588,3.703142329,2.877034358,0.891647856,0.228275442,0,1,10.385,-25.3,1797.996303,-4,135.1796673,123.403255,92.08126411,16.19216941,1
23,1213-26-A,30,26,0.284046594,15.15166667,29.56097222,2,1213,1213-26,WB,A,C,47,70,150,23,0,59,150,F,NA,NA,NA,67.79331132,4.321186441,2.355932203,0.705417607,0.184411718,0,0,10.655,-25.14,1908.354098,0,135.040678,121.2033898,93.49097065,15.33307187,1
24,1213-27-A,32,27,0.317370587,37.36533333,14.77772222,10,1213,1213-27,WB,A,C,46,67,150,21,0,150,150,M,NA,NA,NA,134.2243275,3.753485425,2.300380228,0.483562463,0.27663749,0,0,11.36,-24.785,2910.226696,-3,159.1780735,137.5285171,105.118948,18.19039306,1
